,Zipcode,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Cleaning Fee,Free Parking,Wireless Internet,Cable TV,Prop_encoded,cancel_encoded,Price
0,78704.0,500.0,1.0,1.0,97.0,2.0,25.0,1.0,1.0,1.0,1.0,2.0,85.0
22,78746.0,2800.0,4.0,2.5,99.0,8.0,300.0,1.0,1.0,1.0,1.0,2.0,499.0
108,78741.0,1600.0,1.0,1.5,100.0,4.0,100.0,1.0,1.0,1.0,1.0,0.0,450.0
109,78722.0,900.0,1.0,1.0,80.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,150.0
122,78702.0,2700.0,3.0,2.0,97.0,8.0,100.0,0.0,1.0,1.0,1.0,2.0,275.0
154,78704.0,1000.0,2.0,1.0,99.0,4.0,80.0,1.0,1.0,1.0,1.0,0.0,160.0
155,78704.0,1600.0,3.0,2.0,100.0,6.0,90.0,1.0,1.0,0.0,1.0,0.0,520.0
171,78704.0,360.0,2.0,1.0,100.0,4.0,75.0,1.0,1.0,1.0,1.0,2.0,230.0
177,78704.0,2100.0,4.0,2.0,100.0,6.0,50.0,1.0,1.0,0.0,1.0,0.0,400.0
342,78703.0,1700.0,3.0,2.0,100.0,6.0,85.0,1.0,1.0,1.0,1.0,2.0,350.0
499,78704.0,0.0,1.0,1.0,97.0,5.0,35.0,1.0,1.0,0.0,1.0,0.0,108.0
502,78704.0,645.0,1.0,2.0,96.0,2.0,75.0,1.0,1.0,0.0,1.0,2.0,109.0
527,78749.0,1175.0,3.0,2.0,98.0,6.0,150.0,1.0,1.0,1.0,1.0,2.0,55.0
549,78722.0,1300.0,3.0,1.0,100.0,10.0,90.0,1.0,1.0,0.0,1.0,2.0,299.0
562,78702.0,240.0,1.0,1.0,90.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,55.0
648,78704.0,600.0,1.0,1.0,92.0,2.0,85.0,1.0,1.0,0.0,1.0,2.0,110.0
653,78704.0,950.0,2.0,1.0,100.0,4.0,80.0,1.0,1.0,0.0,1.0,0.0,233.0
668,78704.0,1300.0,3.0,2.0,100.0,6.0,75.0,1.0,1.0,1.0,1.0,2.0,749.0
784,60611.0,900.0,1.0,1.0,91.0,4.0,95.0,0.0,1.0,1.0,1.0,2.0,175.0
813,60647.0,1200.0,1.0,1.0,94.0,4.0,20.0,1.0,1.0,0.0,1.0,0.0,65.0
896,2108.0,580.0,1.0,1.0,90.0,3.0,250.0,0.0,1.0,1.0,1.0,2.0,175.0
924,2131.0,200.0,1.0,1.0,93.0,1.0,50.0,0.0,1.0,1.0,1.0,2.0,75.0
1497,10016.0,1250.0,2.0,1.5,96.0,6.0,120.0,0.0,1.0,1.0,1.0,0.0,389.0
1521,11101.0,96.0,1.0,1.0,97.0,2.0,49.0,1.0,1.0,0.0,1.0,2.0,69.0
1537,10002.0,100.0,1.0,1.0,98.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,115.0
1682,90277.0,176.0,1.0,1.5,97.0,2.0,25.0,0.0,1.0,1.0,1.0,0.0,85.0
1868,91607.0,1500.0,2.0,1.0,100.0,6.0,125.0,1.0,1.0,1.0,1.0,2.0,395.0
2171,90038.0,1615.0,4.0,3.5,98.0,14.0,250.0,1.0,1.0,1.0,1.0,2.0,380.0
2216,90038.0,850.0,2.0,1.0,93.0,6.0,99.0,1.0,1.0,1.0,1.0,0.0,157.0
2405,90066.0,1000.0,2.0,1.0,80.0,5.0,100.0,1.0,1.0,1.0,1.0,2.0,210.0
2508,90019.0,1800.0,3.0,2.0,93.0,7.0,150.0,1.0,1.0,1.0,1.0,2.0,195.0
2539,90065.0,1100.0,2.0,1.0,99.0,4.0,100.0,1.0,1.0,1.0,1.0,2.0,190.0
2728,90048.0,256.0,1.0,1.0,98.0,2.0,50.0,1.0,1.0,1.0,1.0,0.0,87.0
2745,90027.0,1300.0,1.0,1.0,98.0,2.0,35.0,1.0,1.0,1.0,1.0,0.0,70.0
2907,37219.0,1000.0,2.0,2.0,93.0,5.0,103.0,0.0,1.0,1.0,1.0,2.0,134.0
3012,70113.0,1500.0,2.0,2.5,95.0,6.0,200.0,1.0,1.0,0.0,1.0,2.0,690.0
3047,70118.0,300.0,1.0,1.0,95.0,2.0,20.0,0.0,1.0,0.0,1.0,2.0,40.0
3095,11221.0,1400.0,2.0,1.0,94.0,5.0,85.0,0.0,1.0,0.0,1.0,2.0,115.0
3259,11225.0,125.0,1.0,1.0,80.0,2.0,10.0,0.0,1.0,1.0,1.0,0.0,50.0
3527,11238.0,600.0,1.0,1.0,96.0,2.0,75.0,0.0,1.0,1.0,1.0,2.0,140.0
3579,10003.0,1200.0,2.0,1.0,100.0,3.0,100.0,0.0,1.0,0.0,1.0,0.0,299.0
3689,94121.0,400.0,0.0,1.0,84.0,3.0,75.0,0.0,1.0,0.0,1.0,2.0,115.0
3849,92107.0,1200.0,3.0,2.0,89.0,10.0,100.0,0.0,1.0,0.0,1.0,2.0,199.0
3908,94131.0,1400.0,3.0,2.0,90.0,6.0,110.0,0.0,1.0,1.0,1.0,0.0,400.0
3969,98122.0,850.0,2.0,1.0,96.0,6.0,100.0,0.0,1.0,1.0,1.0,2.0,115.0
3970,98122.0,1300.0,3.0,1.0,72.0,8.0,80.0,0.0,1.0,1.0,1.0,2.0,175.0
4021,98102.0,650.0,1.0,1.0,98.0,3.0,75.0,0.0,1.0,0.0,1.0,0.0,155.0
4059,92101.0,1500.0,1.0,1.0,100.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,125.0
4106,92102.0,350.0,1.0,1.0,95.0,4.0,79.0,0.0,1.0,1.0,1.0,2.0,139.0
4196,92104.0,1400.0,2.0,2.5,99.0,4.0,45.0,0.0,1.0,1.0,1.0,0.0,280.0
4318,94118.0,550.0,1.0,1.0,98.0,5.0,50.0,0.0,1.0,1.0,1.0,2.0,225.0
4340,92122.0,700.0,1.0,1.0,100.0,2.0,150.0,0.0,1.0,1.0,1.0,2.0,100.0
4352,94110.0,500.0,1.0,1.0,93.0,2.0,100.0,0.0,1.0,1.0,1.0,2.0,125.0
4452,94114.0,195.0,1.0,1.0,99.0,2.0,54.0,1.0,1.0,0.0,1.0,0.0,103.0
4576,94110.0,90.0,1.0,1.0,88.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,72.0
4653,98103.0,2100.0,2.0,2.0,100.0,4.0,100.0,0.0,1.0,0.0,1.0,2.0,200.0
4687,94116.0,538.0,1.0,2.0,100.0,4.0,100.0,1.0,0.0,1.0,1.0,0.0,128.0
4784,97215.0,1000.0,1.0,1.0,99.0,3.0,20.0,1.0,1.0,0.0,1.0,0.0,90.0
4852,20012.0,144.0,1.0,1.5,76.0,2.0,25.0,1.0,1.0,0.0,1.0,0.0,60.0
4877,20003.0,0.0,1.0,1.0,93.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,65.0
4964,98144.0,1300.0,2.0,2.5,98.0,6.0,110.0,0.0,1.0,1.0,1.0,2.0,196.0
5355,94114.0,1900.0,3.0,2.0,100.0,5.0,100.0,1.0,1.0,0.0,1.0,0.0,250.0
5377,94131.0,750.0,2.0,1.0,96.0,4.0,90.0,0.0,1.0,1.0,1.0,0.0,224.0
5388,94107.0,1700.0,3.0,3.5,74.0,6.0,100.0,1.0,1.0,1.0,1.0,2.0,700.0
5407,94110.0,3.0,0.0,2.0,96.0,1.0,120.0,0.0,1.0,0.0,1.0,2.0,600.0
5514,94102.0,2000.0,3.0,2.0,96.0,8.0,200.0,0.0,1.0,1.0,1.0,2.0,590.0
5639,98103.0,950.0,2.0,1.0,94.0,4.0,80.0,0.0,1.0,1.0,1.0,2.0,225.0
5695,98133.0,350.0,1.0,2.0,93.0,4.0,25.0,0.0,1.0,1.0,1.0,0.0,68.0
5823,20017.0,600.0,1.0,1.0,100.0,2.0,120.0,1.0,1.0,1.0,1.0,0.0,60.0
5890,20001.0,1100.0,1.0,1.0,92.0,6.0,70.0,1.0,1.0,0.0,1.0,0.0,139.0
5953,20001.0,650.0,1.0,1.0,97.0,4.0,75.0,0.0,1.0,0.0,1.0,0.0,89.0
6082,97211.0,350.0,1.0,1.0,94.0,2.0,75.0,1.0,1.0,1.0,1.0,2.0,150.0
6106,94610.0,500.0,0.0,1.0,91.0,2.0,39.0,0.0,1.0,1.0,1.0,2.0,97.0
6110,94608.0,1800.0,1.0,1.0,91.0,2.0,150.0,0.0,1.0,0.0,1.0,2.0,90.0
6124,94611.0,1350.0,3.0,1.0,97.0,7.0,95.0,0.0,1.0,1.0,1.0,2.0,125.0
6391,78704.0,2300.0,4.0,2.0,96.0,16.0,150.0,1.0,1.0,0.0,1.0,2.0,700.0
6398,78722.0,875.0,2.0,1.0,97.0,6.0,60.0,1.0,1.0,0.0,1.0,0.0,125.0
6426,78741.0,200.0,2.0,2.0,98.0,4.0,75.0,1.0,1.0,1.0,1.0,2.0,175.0
6587,78702.0,500.0,1.0,1.0,95.0,2.0,70.0,1.0,1.0,0.0,1.0,2.0,165.0
6789,90036.0,2000.0,2.0,2.0,98.0,4.0,150.0,1.0,1.0,1.0,1.0,2.0,500.0
6822,90020.0,300.0,1.0,1.5,96.0,3.0,20.0,1.0,1.0,0.0,1.0,0.0,69.0
6824,90005.0,260.0,1.0,2.0,78.0,2.0,10.0,1.0,1.0,0.0,1.0,0.0,51.0
6846,90027.0,275.0,0.0,1.0,92.0,2.0,49.0,0.0,1.0,1.0,1.0,2.0,79.0
6875,90004.0,2000.0,1.0,1.5,97.0,2.0,20.0,1.0,1.0,0.0,1.0,2.0,60.0
6908,90066.0,500.0,1.0,1.0,97.0,2.0,35.0,1.0,1.0,0.0,1.0,0.0,115.0
7361,90230.0,2052.0,3.0,3.0,96.0,13.0,125.0,1.0,1.0,1.0,1.0,2.0,299.0
7474,90245.0,1500.0,1.0,1.0,85.0,2.0,10.0,1.0,1.0,0.0,1.0,0.0,48.0
7591,90278.0,10.0,1.0,1.0,99.0,4.0,55.0,1.0,1.0,0.0,1.0,2.0,99.0
7610,90034.0,130.0,1.0,1.0,98.0,2.0,15.0,1.0,1.0,0.0,1.0,0.0,55.0
7677,90064.0,500.0,1.0,1.0,94.0,3.0,75.0,0.0,1.0,0.0,1.0,2.0,109.0
7858,90291.0,1100.0,2.0,2.0,91.0,5.0,120.0,1.0,1.0,1.0,1.0,2.0,248.0
24635,91001.0,620.0,1.0,1.0,95.0,2.0,30.0,1.0,1.0,0.0,1.0,2.0,90.0
24749,90036.0,2000.0,1.0,2.0,83.0,2.0,35.0,0.0,1.0,1.0,1.0,0.0,65.0
24763,90046.0,3000.0,4.0,3.0,99.0,8.0,285.0,1.0,1.0,1.0,1.0,2.0,925.0
25088,91202.0,1050.0,1.0,1.0,99.0,2.0,50.0,1.0,1.0,1.0,1.0,2.0,90.0
25135,90802.0,700.0,2.0,1.0,88.0,5.0,150.0,1.0,1.0,1.0,1.0,2.0,125.0
25151,11222.0,800.0,1.0,1.0,97.0,3.0,50.0,0.0,1.0,0.0,1.0,2.0,129.0
25250,10018.0,0.0,1.0,1.0,98.0,2.0,150.0,0.0,1.0,1.0,1.0,0.0,295.0
25425,10003.0,400.0,0.0,1.0,80.0,4.0,120.0,0.0,1.0,0.0,1.0,2.0,170.0
25426,10003.0,0.0,1.0,3.5,97.0,5.0,79.0,0.0,1.0,0.0,1.0,2.0,99.0
25450,11238.0,350.0,1.0,1.0,90.0,3.0,125.0,0.0,1.0,0.0,1.0,0.0,125.0
25808,90048.0,1350.0,2.0,2.0,97.0,4.0,150.0,1.0,1.0,1.0,1.0,2.0,350.0
25895,90035.0,1800.0,4.0,3.0,80.0,16.0,95.0,1.0,1.0,0.0,1.0,2.0,360.0
26117,90028.0,0.0,1.0,1.0,85.0,4.0,24.0,0.0,1.0,0.0,1.0,2.0,98.0
26188,90048.0,1000.0,1.0,1.0,100.0,1.0,50.0,0.0,1.0,1.0,1.0,2.0,54.0
26310,90046.0,400.0,1.0,1.0,98.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,74.0
26322,90018.0,850.0,1.0,1.0,96.0,3.0,25.0,1.0,1.0,0.0,1.0,0.0,110.0
26362,91206.0,205.0,2.0,2.0,96.0,6.0,50.0,0.0,1.0,1.0,1.0,0.0,225.0
26667,90038.0,0.0,1.0,1.0,94.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,79.0
26736,90026.0,1600.0,3.0,2.0,88.0,5.0,200.0,1.0,1.0,0.0,1.0,2.0,350.0
26811,90042.0,130.0,1.0,1.0,96.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,55.0
27140,11216.0,193.0,1.0,1.0,97.0,2.0,10.0,0.0,1.0,0.0,1.0,2.0,60.0
27251,70117.0,500.0,1.0,1.0,98.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,75.0
27260,70118.0,1850.0,3.0,3.5,93.0,6.0,150.0,1.0,1.0,0.0,1.0,0.0,295.0
27339,70117.0,2000.0,3.0,2.5,93.0,6.0,100.0,0.0,1.0,0.0,1.0,2.0,325.0
27589,10009.0,1000.0,2.0,1.0,93.0,6.0,95.0,0.0,1.0,1.0,1.0,0.0,199.0
27770,11355.0,150.0,1.0,1.0,100.0,2.0,20.0,0.0,1.0,0.0,1.0,2.0,70.0
27889,10026.0,1.0,1.0,1.5,100.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,170.0
27982,90291.0,2000.0,2.0,2.0,96.0,8.0,150.0,0.0,1.0,1.0,1.0,2.0,350.0
28030,90004.0,2600.0,3.0,2.5,97.0,5.0,150.0,1.0,1.0,1.0,1.0,2.0,399.0
28189,37201.0,690.0,1.0,1.0,96.0,4.0,85.0,0.0,1.0,1.0,1.0,2.0,235.0
28253,90039.0,2200.0,3.0,2.5,100.0,9.0,200.0,0.0,1.0,1.0,1.0,0.0,350.0
28613,10468.0,0.0,1.0,1.0,92.0,2.0,30.0,0.0,1.0,0.0,1.0,2.0,45.0
28688,10036.0,725.0,1.0,1.0,100.0,3.0,50.0,0.0,1.0,0.0,1.0,0.0,139.0
28848,11238.0,725.0,1.0,1.0,98.0,1.0,100.0,0.0,1.0,0.0,1.0,2.0,90.0
28870,11216.0,220.0,1.0,1.0,97.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,110.0
29130,90057.0,430.0,1.0,1.0,93.0,2.0,50.0,0.0,1.0,0.0,1.0,0.0,70.0
29192,90025.0,800.0,1.0,1.0,100.0,2.0,70.0,1.0,1.0,1.0,1.0,2.0,110.0
29374,78722.0,320.0,1.0,1.0,94.0,2.0,30.0,1.0,1.0,0.0,1.0,2.0,110.0
29439,78702.0,900.0,2.0,1.0,96.0,6.0,75.0,1.0,1.0,1.0,1.0,2.0,285.0
29545,78704.0,1750.0,4.0,3.0,100.0,8.0,100.0,1.0,1.0,0.0,1.0,2.0,350.0
29613,78704.0,2650.0,5.0,3.5,99.0,12.0,275.0,1.0,1.0,1.0,1.0,2.0,695.0
29715,78722.0,1600.0,3.0,2.0,98.0,9.0,50.0,1.0,1.0,1.0,1.0,2.0,300.0
29738,78704.0,1200.0,1.0,1.0,90.0,6.0,50.0,1.0,1.0,0.0,1.0,0.0,190.0
29780,78731.0,400.0,1.0,1.0,97.0,2.0,35.0,1.0,1.0,0.0,1.0,0.0,85.0
29782,78731.0,2200.0,3.0,2.0,100.0,5.0,150.0,1.0,1.0,1.0,1.0,2.0,725.0
29796,78702.0,1025.0,2.0,2.0,92.0,6.0,50.0,1.0,1.0,0.0,1.0,2.0,200.0
29995,78702.0,960.0,1.0,1.0,99.0,4.0,50.0,1.0,1.0,0.0,1.0,0.0,150.0
30020,78703.0,410.0,1.0,1.0,99.0,3.0,35.0,1.0,1.0,0.0,1.0,2.0,198.0
30083,78702.0,500.0,1.0,1.0,96.0,4.0,45.0,1.0,1.0,0.0,1.0,2.0,175.0
30153,78704.0,3400.0,4.0,3.0,100.0,6.0,200.0,1.0,1.0,0.0,1.0,2.0,550.0
30265,78751.0,800.0,2.0,1.0,99.0,4.0,60.0,1.0,1.0,1.0,1.0,2.0,159.0
30330,78705.0,0.0,0.0,1.0,97.0,3.0,40.0,1.0,1.0,1.0,1.0,2.0,90.0
30416,2125.0,1200.0,3.0,1.0,88.0,6.0,175.0,0.0,1.0,1.0,1.0,2.0,126.0
30466,60647.0,1100.0,1.0,1.5,97.0,2.0,85.0,1.0,1.0,0.0,1.0,0.0,150.0
30577,60611.0,0.0,1.0,1.0,95.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,140.0
30602,60654.0,140.0,1.0,1.0,95.0,2.0,39.0,0.0,1.0,1.0,1.0,0.0,99.0
30751,78703.0,600.0,1.0,1.0,97.0,2.0,75.0,1.0,1.0,0.0,1.0,2.0,125.0
30796,78757.0,920.0,2.0,1.0,98.0,4.0,100.0,1.0,1.0,0.0,1.0,2.0,73.0
30819,78703.0,2100.0,4.0,2.5,100.0,6.0,200.0,1.0,1.0,0.0,1.0,2.0,650.0
30837,78731.0,0.0,3.0,3.0,94.0,12.0,250.0,1.0,1.0,1.0,1.0,2.0,500.0
30843,78745.0,260.0,1.0,1.0,97.0,4.0,25.0,1.0,1.0,0.0,1.0,0.0,70.0
30876,78702.0,1225.0,2.0,1.5,98.0,6.0,60.0,1.0,1.0,1.0,1.0,2.0,160.0
31042,78759.0,130.0,1.0,1.5,97.0,3.0,30.0,1.0,1.0,0.0,1.0,0.0,79.0
31250,37214.0,1380.0,3.0,2.0,98.0,8.0,35.0,0.0,1.0,1.0,1.0,0.0,135.0
31308,2120.0,1200.0,1.0,2.0,89.0,3.0,200.0,0.0,1.0,1.0,1.0,2.0,115.0
31336,2127.0,1600.0,1.0,1.0,100.0,2.0,100.0,0.0,1.0,1.0,1.0,2.0,150.0
31598,10010.0,800.0,1.0,1.0,99.0,2.0,85.0,0.0,1.0,0.0,1.0,2.0,300.0
31661,11211.0,850.0,1.0,1.0,94.0,6.0,125.0,0.0,1.0,0.0,1.0,2.0,160.0
31774,10039.0,144.0,1.0,1.0,100.0,3.0,50.0,0.0,1.0,0.0,1.0,2.0,75.0
31908,10029.0,350.0,1.0,1.0,92.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,120.0
32022,10040.0,600.0,1.0,1.0,100.0,2.0,40.0,0.0,1.0,0.0,1.0,2.0,97.0
32376,10009.0,700.0,1.0,1.0,89.0,3.0,100.0,0.0,1.0,1.0,1.0,2.0,195.0
32392,10003.0,800.0,2.0,1.0,95.0,3.0,50.0,0.0,1.0,1.0,1.0,0.0,240.0
32671,11106.0,0.0,1.0,1.0,88.0,2.0,30.0,0.0,1.0,1.0,1.0,0.0,100.0
32696,70117.0,800.0,2.0,1.0,98.0,6.0,75.0,0.0,1.0,1.0,1.0,2.0,164.0
32700,70125.0,0.0,1.0,1.0,90.0,2.0,20.0,1.0,1.0,1.0,1.0,0.0,100.0
32760,70117.0,350.0,1.0,1.0,98.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,89.0
32762,70117.0,650.0,1.0,1.0,98.0,2.0,65.0,0.0,1.0,0.0,1.0,2.0,115.0
41072,10010.0,500.0,1.0,1.0,80.0,6.0,60.0,0.0,1.0,1.0,1.0,2.0,206.0
41551,11102.0,520.0,1.0,1.0,95.0,4.0,60.0,0.0,1.0,0.0,1.0,2.0,115.0
41673,20024.0,1600.0,3.0,2.5,97.0,8.0,175.0,1.0,1.0,1.0,1.0,2.0,379.0
41761,20002.0,3000.0,4.0,4.0,85.0,9.0,120.0,1.0,1.0,1.0,1.0,2.0,500.0
41767,20002.0,140.0,1.0,1.5,94.0,2.0,20.0,0.0,1.0,0.0,1.0,0.0,50.0
41930,94611.0,2000.0,1.0,1.5,97.0,4.0,75.0,0.0,1.0,1.0,1.0,0.0,235.0
41955,92139.0,180.0,1.0,1.0,91.0,2.0,10.0,0.0,1.0,0.0,1.0,0.0,70.0
41968,92106.0,1543.0,3.0,2.0,98.0,8.0,100.0,0.0,1.0,1.0,1.0,0.0,315.0
42057,94127.0,1100.0,2.0,1.0,97.0,5.0,150.0,1.0,1.0,1.0,1.0,2.0,345.0
42095,92101.0,0.0,1.0,1.0,88.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,99.0
42170,94118.0,1100.0,2.0,1.0,95.0,4.0,40.0,0.0,1.0,0.0,1.0,0.0,165.0
42186,94123.0,2800.0,4.0,3.0,94.0,7.0,300.0,0.0,1.0,1.0,1.0,2.0,900.0
42196,94158.0,130.0,3.0,2.0,98.0,6.0,250.0,1.0,1.0,1.0,1.0,2.0,500.0
42274,94109.0,650.0,1.0,1.0,97.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,79.0
42281,92105.0,50.0,1.0,1.5,96.0,1.0,30.0,0.0,1.0,0.0,1.0,0.0,38.0
42489,94114.0,850.0,1.0,1.0,96.0,2.0,100.0,0.0,1.0,1.0,1.0,2.0,195.0
42544,95006.0,400.0,1.0,1.0,88.0,2.0,20.0,0.0,0.0,0.0,1.0,2.0,75.0
42628,97211.0,1.0,2.0,1.0,91.0,6.0,100.0,1.0,1.0,1.0,1.0,2.0,150.0
42711,98118.0,700.0,1.0,1.0,96.0,3.0,30.0,0.0,1.0,0.0,1.0,2.0,90.0
42756,98112.0,500.0,1.0,1.0,94.0,2.0,72.0,0.0,1.0,1.0,1.0,2.0,125.0
42766,20009.0,1400.0,3.0,2.0,84.0,9.0,85.0,0.0,1.0,1.0,1.0,0.0,260.0
42923,20002.0,760.0,2.0,1.0,100.0,4.0,25.0,1.0,1.0,1.0,1.0,0.0,250.0
43020,20008.0,4500.0,5.0,3.5,96.0,15.0,180.0,1.0,1.0,1.0,1.0,2.0,495.0
43291,78701.0,1.0,3.0,2.0,96.0,10.0,125.0,1.0,1.0,1.0,1.0,2.0,490.0
43332,78704.0,2700.0,3.0,4.0,100.0,6.0,240.0,1.0,1.0,0.0,1.0,2.0,750.0
