,Zipcode,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Cleaning Fee,Free Parking,Wireless Internet,Cable TV,Prop_encoded,cancel_encoded,Price
43336,78704.0,1850.0,2.0,2.5,100.0,4.0,125.0,1.0,1.0,1.0,1.0,0.0,300.0
43349,78704.0,1.0,3.0,1.0,92.0,6.0,75.0,1.0,1.0,0.0,1.0,2.0,245.0
43446,78721.0,1600.0,3.0,2.5,98.0,8.0,100.0,1.0,1.0,0.0,1.0,2.0,135.0
43540,78704.0,2500.0,4.0,3.5,98.0,10.0,135.0,1.0,1.0,1.0,1.0,2.0,675.0
43625,78748.0,800.0,7.0,7.0,100.0,16.0,275.0,1.0,1.0,0.0,1.0,2.0,699.0
43713,78749.0,2600.0,1.0,2.0,100.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,200.0
43834,80205.0,1.0,1.0,1.0,94.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,68.0
43927,2118.0,450.0,1.0,1.0,87.0,2.0,65.0,0.0,1.0,1.0,1.0,2.0,145.0
43967,60657.0,2600.0,1.0,1.0,100.0,2.0,60.0,0.0,1.0,1.0,1.0,2.0,175.0
44258,78703.0,875.0,2.0,1.0,98.0,5.0,40.0,1.0,1.0,1.0,1.0,2.0,147.0
44275,78704.0,960.0,2.0,2.0,98.0,5.0,75.0,1.0,1.0,1.0,1.0,2.0,220.0
44336,78751.0,900.0,2.0,1.0,96.0,6.0,80.0,1.0,1.0,1.0,1.0,2.0,175.0
44386,78741.0,2200.0,3.0,2.5,100.0,6.0,40.0,1.0,1.0,1.0,1.0,0.0,500.0
44392,78704.0,2500.0,5.0,4.0,100.0,12.0,200.0,1.0,1.0,1.0,1.0,0.0,395.0
44457,60661.0,1050.0,2.0,1.5,98.0,3.0,50.0,0.0,1.0,1.0,1.0,0.0,195.0
44505,80210.0,1200.0,3.0,1.0,96.0,8.0,125.0,0.0,1.0,1.0,1.0,2.0,175.0
44785,80211.0,300.0,1.0,1.0,97.0,2.0,15.0,0.0,1.0,1.0,1.0,2.0,105.0
44862,80211.0,800.0,1.0,1.0,93.0,4.0,30.0,0.0,1.0,1.0,1.0,0.0,95.0
45118,90046.0,250.0,1.0,1.0,95.0,2.0,65.0,1.0,1.0,1.0,1.0,2.0,82.0
45154,91775.0,800.0,2.0,1.0,97.0,6.0,100.0,1.0,1.0,0.0,1.0,2.0,128.0
45278,90015.0,0.0,1.0,1.0,100.0,4.0,69.0,1.0,1.0,1.0,1.0,2.0,169.0
45462,90038.0,415.0,1.0,1.0,98.0,2.0,20.0,1.0,1.0,1.0,1.0,2.0,105.0
45591,91202.0,1200.0,2.0,1.0,95.0,6.0,80.0,1.0,1.0,1.0,1.0,2.0,150.0
45654,90026.0,500.0,1.0,1.0,99.0,3.0,90.0,0.0,1.0,0.0,1.0,2.0,160.0
45738,91406.0,500.0,1.0,1.0,98.0,2.0,70.0,1.0,1.0,1.0,1.0,0.0,109.0
45989,94618.0,1100.0,2.0,1.0,92.0,6.0,100.0,0.0,1.0,1.0,1.0,2.0,165.0
46310,90005.0,200.0,1.0,2.0,81.0,3.0,10.0,1.0,1.0,0.0,1.0,0.0,59.0
46536,910012243.0,300.0,1.0,1.0,96.0,2.0,20.0,1.0,1.0,1.0,1.0,0.0,89.0
46554,90039.0,400.0,1.0,1.0,100.0,1.0,50.0,0.0,1.0,0.0,1.0,0.0,65.0
46655,90290.0,112.0,1.0,1.0,99.0,2.0,45.0,1.0,1.0,0.0,1.0,0.0,88.0
46859,90026.0,780.0,2.0,1.0,99.0,4.0,70.0,0.0,1.0,1.0,1.0,0.0,165.0
47149,37208.0,800.0,2.0,1.5,96.0,5.0,60.0,0.0,1.0,1.0,1.0,0.0,115.0
47172,70125.0,2300.0,3.0,3.0,90.0,16.0,200.0,1.0,1.0,1.0,1.0,2.0,600.0
47202,10305.0,700.0,1.0,1.0,90.0,6.0,75.0,0.0,1.0,0.0,1.0,2.0,125.0
47236,70119.0,300.0,1.0,1.0,99.0,4.0,15.0,1.0,1.0,1.0,1.0,2.0,125.0
47250,70118.0,1000.0,1.0,1.0,96.0,2.0,65.0,0.0,1.0,1.0,1.0,0.0,125.0
47285,70032.0,0.0,1.0,1.0,94.0,3.0,45.0,1.0,1.0,1.0,1.0,2.0,85.0
47290,70115.0,2000.0,4.0,2.0,100.0,8.0,150.0,1.0,1.0,1.0,1.0,0.0,450.0
47351,11205.0,800.0,1.0,1.0,70.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,70.0
47615,10019.0,550.0,1.0,1.0,82.0,4.0,65.0,0.0,1.0,1.0,1.0,2.0,149.0
47850,11217.0,1000.0,1.0,1.5,97.0,4.0,80.0,0.0,1.0,0.0,1.0,0.0,200.0
47902,10014.0,220.0,1.0,1.0,99.0,2.0,75.0,0.0,1.0,1.0,1.0,2.0,125.0
48260,10002.0,1200.0,2.0,1.0,98.0,5.0,80.0,0.0,1.0,0.0,1.0,2.0,400.0
48273,11225.0,750.0,2.0,1.0,86.0,4.0,200.0,0.0,1.0,0.0,1.0,2.0,150.0
48472,94133.0,2250.0,4.0,2.0,100.0,7.0,150.0,0.0,1.0,0.0,1.0,0.0,650.0
48590,94107.0,900.0,1.0,1.0,100.0,2.0,45.0,0.0,1.0,1.0,1.0,2.0,165.0
48679,98102.0,1850.0,3.0,2.0,93.0,10.0,300.0,0.0,1.0,1.0,1.0,2.0,360.0
48989,92102.0,200.0,1.0,1.0,95.0,2.0,35.0,0.0,1.0,1.0,1.0,0.0,75.0
49048,92103.0,900.0,2.0,1.5,86.0,6.0,35.0,0.0,1.0,1.0,1.0,2.0,106.0
49074,94110.0,600.0,1.0,1.0,97.0,3.0,60.0,1.0,1.0,0.0,1.0,0.0,165.0
49082,94112.0,2000.0,1.0,2.0,100.0,1.0,55.0,0.0,1.0,1.0,1.0,0.0,71.0
49135,20003.0,800.0,0.0,1.0,96.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,110.0
57532,90026.0,480.0,1.0,1.0,97.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,145.0
57611,90069.0,1450.0,1.0,1.0,95.0,2.0,50.0,1.0,1.0,1.0,1.0,0.0,185.0
57716,90068.0,2500.0,2.0,2.0,91.0,5.0,120.0,1.0,1.0,0.0,1.0,0.0,350.0
57897,90015.0,1150.0,1.0,1.0,100.0,2.0,95.0,1.0,1.0,1.0,1.0,2.0,239.0
57975,90039.0,1100.0,2.0,1.0,97.0,6.0,50.0,1.0,1.0,1.0,1.0,0.0,139.0
58167,90046.0,2000.0,2.0,2.0,97.0,6.0,185.0,1.0,1.0,1.0,1.0,2.0,570.0
58193,90006.0,300.0,1.0,1.0,94.0,2.0,65.0,1.0,1.0,0.0,1.0,2.0,53.0
58231,90232.0,600.0,1.0,1.0,96.0,3.0,120.0,0.0,1.0,0.0,1.0,2.0,159.0
58608,90291.0,1000.0,1.0,1.0,100.0,2.0,80.0,0.0,1.0,0.0,1.0,2.0,160.0
58746,37206.0,1200.0,2.0,1.0,97.0,6.0,80.0,0.0,1.0,1.0,1.0,0.0,140.0
58822,70118.0,170.0,1.0,1.0,94.0,1.0,20.0,0.0,1.0,0.0,1.0,2.0,20.0
58853,70117.0,1950.0,3.0,2.5,95.0,4.0,95.0,0.0,1.0,1.0,1.0,2.0,215.0
58877,11233.0,800.0,3.0,1.0,88.0,6.0,80.0,1.0,1.0,1.0,1.0,2.0,180.0
58912,11216.0,1200.0,1.0,1.0,90.0,2.0,75.0,0.0,1.0,1.0,1.0,2.0,95.0
58959,11205.0,0.0,1.0,1.0,98.0,2.0,15.0,0.0,1.0,0.0,1.0,2.0,45.0
58978,11233.0,925.0,1.0,1.0,98.0,6.0,50.0,0.0,1.0,1.0,1.0,2.0,135.0
59004,11225.0,775.0,1.0,1.0,100.0,2.0,70.0,0.0,1.0,0.0,1.0,2.0,62.0
59043,10011.0,1000.0,2.0,1.5,90.0,4.0,80.0,0.0,1.0,1.0,1.0,0.0,250.0
59230,10010.0,900.0,2.0,1.0,94.0,6.0,100.0,0.0,1.0,0.0,1.0,2.0,345.0
59275,10026.0,100.0,1.0,1.0,97.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,69.0
59282,10027.0,550.0,1.0,1.0,84.0,6.0,50.0,0.0,1.0,1.0,1.0,2.0,155.0
59333,10022.0,750.0,1.0,1.0,94.0,2.0,95.0,0.0,1.0,1.0,1.0,2.0,110.0
59371,10027.0,850.0,1.0,1.0,94.0,4.0,60.0,0.0,1.0,0.0,1.0,2.0,168.0
59476,11226.0,950.0,1.0,1.0,96.0,2.0,75.0,0.0,1.0,0.0,1.0,0.0,70.0
59543,37219.0,1000.0,2.0,2.0,88.0,5.0,103.0,0.0,1.0,1.0,1.0,2.0,166.0
59752,11238.0,5000.0,1.0,1.0,96.0,10.0,200.0,0.0,1.0,0.0,1.0,2.0,600.0
59755,11205.0,360.0,0.0,1.0,95.0,2.0,70.0,0.0,1.0,0.0,1.0,0.0,139.0
59789,11238.0,1500.0,4.0,2.5,100.0,6.0,100.0,0.0,0.0,0.0,1.0,2.0,175.0
59834,11222.0,950.0,1.0,2.0,100.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,100.0
59835,11222.0,500.0,1.0,1.0,91.0,4.0,50.0,1.0,1.0,0.0,1.0,2.0,129.0
59946,2130.0,2200.0,4.0,1.5,100.0,8.0,100.0,0.0,1.0,1.0,1.0,2.0,300.0
60213,90291.0,800.0,1.0,1.0,96.0,2.0,75.0,1.0,1.0,1.0,1.0,0.0,140.0
60216,90291.0,1400.0,3.0,2.0,95.0,6.0,125.0,1.0,1.0,1.0,1.0,2.0,250.0
60230,90291.0,300.0,1.0,1.0,94.0,2.0,90.0,0.0,1.0,1.0,1.0,2.0,140.0
60323,90291.0,900.0,2.0,1.0,88.0,4.0,125.0,1.0,1.0,1.0,1.0,0.0,250.0
60462,90025.0,1600.0,4.0,2.0,95.0,8.0,150.0,1.0,1.0,1.0,1.0,2.0,399.0
60529,90046.0,3500.0,4.0,3.5,95.0,8.0,300.0,1.0,1.0,1.0,1.0,2.0,695.0
60812,90066.0,64.0,1.0,1.0,94.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,75.0
60829,90028.0,0.0,1.0,1.0,89.0,5.0,79.0,1.0,1.0,1.0,1.0,2.0,140.0
60851,90026.0,1450.0,3.0,1.5,96.0,7.0,125.0,0.0,1.0,0.0,1.0,2.0,130.0
61396,70112.0,1100.0,2.0,2.0,93.0,5.0,99.0,1.0,1.0,1.0,1.0,2.0,187.0
61473,11226.0,12.0,1.0,1.0,97.0,4.0,24.0,0.0,1.0,1.0,1.0,2.0,69.0
61492,10006.0,450.0,0.0,1.0,97.0,2.0,185.0,0.0,1.0,0.0,1.0,2.0,225.0
61689,10036.0,620.0,1.0,1.0,96.0,2.0,75.0,0.0,1.0,1.0,1.0,2.0,199.0
61705,10036.0,200.0,1.0,1.0,98.0,2.0,20.0,0.0,1.0,1.0,1.0,0.0,165.0
61787,10002.0,550.0,1.0,1.0,92.0,2.0,50.0,0.0,1.0,0.0,1.0,0.0,130.0
62015,11217.0,1600.0,2.0,2.5,92.0,4.0,80.0,0.0,1.0,1.0,1.0,0.0,135.0
62044,10027.0,750.0,2.0,1.0,91.0,8.0,50.0,0.0,1.0,1.0,1.0,2.0,99.0
62109,10031.0,0.0,1.0,2.0,93.0,3.0,25.0,1.0,1.0,0.0,1.0,2.0,60.0
62403,11213.0,225.0,1.0,1.0,90.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,70.0
62478,94610.0,750.0,1.0,1.0,95.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,50.0
62547,94618.0,550.0,1.0,1.0,85.0,4.0,20.0,0.0,1.0,0.0,1.0,2.0,90.0
62548,94618.0,140.0,1.0,1.0,93.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,130.0
62578,98103.0,660.0,1.0,1.0,99.0,2.0,60.0,0.0,1.0,0.0,1.0,0.0,115.0
62732,97201.0,1700.0,4.0,2.0,97.0,8.0,125.0,1.0,1.0,1.0,1.0,2.0,350.0
63035,94122.0,2100.0,3.0,2.5,100.0,5.0,150.0,1.0,1.0,1.0,1.0,2.0,550.0
63087,95003.0,2000.0,2.0,1.0,98.0,8.0,150.0,0.0,1.0,1.0,1.0,0.0,349.0
63137,94115.0,1400.0,2.0,1.5,98.0,4.0,125.0,1.0,1.0,1.0,1.0,2.0,395.0
63210,94110.0,750.0,1.0,1.0,96.0,2.0,80.0,0.0,1.0,0.0,1.0,2.0,195.0
63270,94109.0,400.0,1.0,1.0,95.0,2.0,90.0,0.0,1.0,0.0,1.0,0.0,125.0
63297,94127.0,140.0,1.0,1.0,95.0,2.0,20.0,0.0,1.0,0.0,1.0,0.0,54.0
63316,94117.0,1012.0,2.0,1.0,100.0,4.0,100.0,0.0,1.0,0.0,1.0,2.0,280.0
63371,98103.0,1600.0,3.0,2.5,95.0,8.0,145.0,0.0,1.0,1.0,1.0,2.0,245.0
63578,20007.0,1500.0,1.0,1.0,99.0,1.0,100.0,0.0,1.0,1.0,1.0,2.0,125.0
63717,37203.0,1000.0,2.0,2.0,80.0,5.0,103.0,0.0,1.0,1.0,1.0,2.0,143.0
63929,91101.0,450.0,0.0,1.0,94.0,3.0,49.0,1.0,1.0,1.0,1.0,2.0,89.0
64007,90292.0,320.0,1.0,1.0,97.0,3.0,58.0,1.0,1.0,1.0,1.0,2.0,175.0
64191,90291.0,625.0,1.0,1.0,91.0,4.0,125.0,0.0,1.0,1.0,1.0,2.0,164.0
64195,90291.0,2600.0,4.0,4.0,100.0,8.0,150.0,1.0,1.0,1.0,1.0,2.0,500.0
64308,70119.0,480.0,1.0,1.0,98.0,4.0,75.0,1.0,1.0,0.0,1.0,2.0,75.0
64355,37205.0,750.0,1.0,1.0,100.0,4.0,60.0,0.0,1.0,1.0,1.0,2.0,190.0
64396,37209.0,0.0,1.0,1.0,99.0,2.0,40.0,0.0,1.0,1.0,1.0,0.0,75.0
64492,90068.0,0.0,1.0,1.0,91.0,2.0,7.0,0.0,1.0,0.0,1.0,2.0,65.0
64538,90068.0,2000.0,2.0,1.5,100.0,4.0,150.0,0.0,1.0,1.0,1.0,2.0,350.0
64548,90068.0,750.0,1.0,1.0,98.0,6.0,50.0,1.0,1.0,1.0,1.0,0.0,130.0
64564,90036.0,235.0,1.0,1.0,95.0,3.0,45.0,1.0,1.0,0.0,1.0,0.0,75.0
64586,90026.0,1200.0,2.0,2.5,99.0,4.0,150.0,1.0,1.0,0.0,1.0,2.0,400.0
64628,90038.0,1020.0,2.0,2.0,98.0,4.0,95.0,0.0,1.0,0.0,1.0,2.0,197.0
64661,90027.0,800.0,1.0,1.0,91.0,2.0,100.0,0.0,1.0,1.0,1.0,2.0,195.0
64703,90004.0,1100.0,1.0,1.0,100.0,2.0,150.0,1.0,1.0,1.0,1.0,2.0,199.0
64754,90036.0,1200.0,2.0,2.0,93.0,8.0,60.0,1.0,1.0,1.0,1.0,2.0,190.0
64994,90802.0,600.0,0.0,1.0,94.0,2.0,60.0,1.0,1.0,1.0,1.0,2.0,95.0
65011,90814.0,1000.0,2.0,1.0,97.0,3.0,85.0,1.0,1.0,0.0,1.0,2.0,113.0
65115,90026.0,285.0,0.0,1.0,92.0,2.0,49.0,0.0,1.0,0.0,1.0,2.0,75.0
65183,90293.0,700.0,1.0,1.0,94.0,3.0,100.0,1.0,1.0,1.0,1.0,2.0,260.0
65304,10034.0,700.0,1.0,1.0,95.0,1.0,50.0,0.0,1.0,0.0,1.0,0.0,100.0
65396,10027.0,700.0,1.0,1.0,94.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,120.0
65485,10034.0,175.0,2.0,1.0,97.0,3.0,50.0,0.0,1.0,1.0,1.0,2.0,87.0
65552,11221.0,800.0,2.0,1.0,92.0,6.0,85.0,0.0,1.0,1.0,1.0,2.0,165.0
65654,11238.0,1000.0,1.0,1.0,96.0,2.0,17.0,0.0,1.0,0.0,1.0,2.0,105.0
65840,11222.0,800.0,2.0,1.0,96.0,4.0,75.0,0.0,1.0,0.0,1.0,0.0,190.0
66020,10011.0,325.0,1.0,1.0,98.0,2.0,50.0,0.0,1.0,0.0,1.0,0.0,125.0
66066,70119.0,1375.0,3.0,2.0,92.0,8.0,95.0,1.0,1.0,1.0,1.0,2.0,295.0
66079,11221.0,0.0,1.0,1.0,97.0,2.0,20.0,1.0,1.0,0.0,1.0,0.0,48.0
66107,11201.0,900.0,2.0,1.0,97.0,7.0,150.0,0.0,1.0,0.0,1.0,2.0,250.0
66205,10002.0,900.0,2.0,1.0,100.0,3.0,100.0,0.0,1.0,0.0,1.0,0.0,240.0
66294,2119.0,630.0,1.0,1.0,98.0,3.0,65.0,0.0,1.0,0.0,1.0,2.0,160.0
66406,80205.0,900.0,2.0,1.0,96.0,5.0,75.0,0.0,1.0,0.0,1.0,2.0,119.0
66657,80212.0,850.0,2.0,1.0,91.0,4.0,50.0,0.0,1.0,0.0,1.0,2.0,125.0
66677,2116.0,340.0,1.0,1.0,90.0,2.0,15.0,0.0,1.0,1.0,1.0,0.0,130.0
67689,90292.0,1100.0,2.0,2.0,96.0,9.0,140.0,1.0,1.0,1.0,1.0,2.0,279.0
67710,90046.0,0.0,1.0,1.0,99.0,2.0,125.0,1.0,1.0,1.0,1.0,0.0,165.0
67846,60622.0,1300.0,3.0,1.0,87.0,10.0,35.0,1.0,1.0,1.0,1.0,2.0,119.0
67919,80211.0,890.0,2.0,1.0,94.0,4.0,20.0,0.0,1.0,1.0,1.0,0.0,100.0
67966,60613.0,1420.0,2.0,2.0,97.0,4.0,150.0,0.0,1.0,1.0,1.0,2.0,250.0
68022,60625.0,1700.0,1.0,1.0,94.0,3.0,35.0,1.0,1.0,0.0,1.0,0.0,85.0
68568,10017.0,2200.0,2.0,2.0,98.0,4.0,200.0,0.0,1.0,1.0,1.0,0.0,450.0
68585,37214.0,600.0,1.0,1.0,97.0,2.0,35.0,0.0,1.0,0.0,1.0,0.0,110.0
68677,11373.0,500.0,2.0,1.0,93.0,3.0,60.0,0.0,1.0,0.0,1.0,2.0,89.0
68779,10009.0,2000.0,3.0,2.0,89.0,7.0,100.0,0.0,1.0,0.0,1.0,2.0,600.0
68794,10456.0,1300.0,1.0,1.0,95.0,2.0,25.0,1.0,1.0,1.0,1.0,0.0,70.0
68893,37216.0,1000.0,2.0,1.0,99.0,4.0,25.0,0.0,1.0,1.0,1.0,0.0,125.0
68906,70117.0,2100.0,2.0,2.0,98.0,6.0,200.0,0.0,1.0,1.0,1.0,2.0,550.0
68932,70117.0,1100.0,2.0,2.0,98.0,4.0,89.0,0.0,1.0,1.0,1.0,2.0,155.0
69114,11103.0,500.0,1.0,1.0,96.0,3.0,50.0,0.0,1.0,0.0,1.0,0.0,129.0
69172,11222.0,90.0,1.0,1.0,89.0,1.0,40.0,0.0,1.0,0.0,1.0,0.0,55.0
69471,78731.0,600.0,0.0,1.0,97.0,3.0,25.0,1.0,1.0,0.0,1.0,0.0,115.0
69550,78704.0,1000.0,2.0,1.0,95.0,5.0,20.0,1.0,1.0,0.0,1.0,0.0,179.0
69570,78704.0,500.0,1.0,1.0,94.0,4.0,60.0,1.0,1.0,1.0,1.0,2.0,175.0
69736,91604.0,7000.0,1.0,1.0,96.0,2.0,60.0,1.0,1.0,1.0,1.0,2.0,109.0
69888,90026.0,350.0,0.0,1.0,98.0,2.0,65.0,0.0,1.0,1.0,1.0,2.0,115.0
69898,90254.0,2000.0,3.0,3.5,92.0,4.0,500.0,1.0,1.0,1.0,1.0,2.0,420.0
69982,900362514.0,220.0,1.0,1.0,98.0,2.0,30.0,1.0,1.0,1.0,1.0,2.0,60.0
70232,90068.0,800.0,1.0,1.0,87.0,3.0,60.0,1.0,1.0,1.0,1.0,2.0,115.0
70275,90803.0,2500.0,1.0,2.5,100.0,6.0,50.0,0.0,1.0,1.0,1.0,0.0,125.0
70282,90027.0,1500.0,2.0,2.0,94.0,3.0,60.0,0.0,1.0,0.0,1.0,0.0,120.0
70364,90036.0,0.0,1.0,1.0,97.0,2.0,20.0,1.0,1.0,0.0,1.0,0.0,99.0
70476,90505.0,400.0,1.0,1.0,90.0,3.0,100.0,1.0,1.0,1.0,1.0,2.0,125.0
70482,90265.0,1200.0,2.0,2.0,95.0,4.0,175.0,1.0,1.0,1.0,1.0,2.0,207.0
70498,90291.0,800.0,1.0,1.0,90.0,3.0,100.0,1.0,1.0,1.0,1.0,2.0,189.0
70513,90290.0,700.0,1.0,1.0,98.0,4.0,70.0,1.0,1.0,0.0,1.0,2.0,109.0
70753,91776.0,0.0,1.0,1.0,82.0,2.0,20.0,1.0,1.0,1.0,1.0,0.0,45.0
70927,11201.0,600.0,2.0,1.0,90.0,3.0,60.0,0.0,1.0,0.0,1.0,0.0,140.0
70964,10035.0,750.0,1.0,1.0,96.0,4.0,75.0,0.0,1.0,1.0,1.0,0.0,145.0
71023,11217.0,764.0,1.0,1.0,96.0,4.0,85.0,0.0,1.0,1.0,1.0,0.0,190.0
71208,11217.0,1100.0,2.0,2.0,97.0,4.0,120.0,0.0,1.0,0.0,1.0,2.0,250.0
71602,11205.0,900.0,2.0,1.0,94.0,3.0,100.0,0.0,1.0,0.0,1.0,2.0,120.0
71686,10003.0,600.0,1.0,1.0,73.0,2.0,70.0,0.0,1.0,0.0,1.0,2.0,200.0
71695,10009.0,600.0,1.0,1.0,96.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,200.0
71801,70118.0,750.0,1.0,1.0,97.0,3.0,30.0,1.0,1.0,1.0,1.0,2.0,100.0
71886,37212.0,3500.0,2.0,3.0,100.0,6.0,100.0,0.0,1.0,1.0,1.0,0.0,615.0
71953,37203.0,1000.0,2.0,2.0,95.0,5.0,103.0,0.0,1.0,1.0,1.0,2.0,115.0
72004,10012.0,800.0,2.0,1.5,96.0,4.0,60.0,0.0,1.0,0.0,1.0,0.0,350.0
