,$_per_backer
4,223.21428571428572
5,62.5
10,125.0
16,35.714285714285715
18,32.05128205128205
21,2.6515151515151514
22,68.02721088435374
24,31.098073555166376
25,3.7037037037037037
27,1.8214936247723132
28,111.11111111111111
30,130.43478260869566
32,25.477707006369428
33,46.948356807511736
35,54.151624548736464
36,64.65517241379311
37,55.248618784530386
39,46.78362573099415
40,51.94805194805195
41,13.761467889908257
43,94.9367088607595
45,56.33802816901409
46,215.68627450980392
49,78.51239669421487
51,55.80357142857143
55,5.387931034482759
58,104.16666666666667
63,42.10526315789474
68,45.73170731707317
73,137.93103448275863
74,16.129032258064516
75,13.88888888888889
76,26.143790849673202
82,50.0
84,88.49557522123894
85,51.724137931034484
86,57.69230769230769
87,44.44444444444444
90,62.5
91,14.285714285714286
92,333.3333333333333
95,15.860428231562253
97,41.221374045801525
98,70.0
99,24.390243902439025
100,39.71486761710794
109,3.2051282051282053
112,5.555555555555555
116,40.0
117,106.38297872340425
120,28.571428571428573
124,12.264150943396226
126,50.0
127,78.94736842105263
129,2500.0
136,111.94029850746269
137,445.63279857397504
141,12.820512820512821
144,48.0
153,21.583333333333332
154,87.20930232558139
156,21.141649048625794
157,52.63157894736842
159,61.72839506172839
163,108.10810810810811
165,39.285714285714285
166,15.290519877675841
167,12.987012987012987
169,119.8170731707317
170,42.10526315789474
171,6.875
173,217.3913043478261
174,7857.142857142857
176,23.364485981308412
177,291.6666666666667
179,inf
180,21.428571428571427
184,94.68085106382979
185,38.095238095238095
186,176.47058823529412
187,102.6875
190,78.26086956521739
191,28.846153846153847
193,37.5
196,31.914893617021278
199,13.392857142857142
200,19.047619047619047
201,57.69230769230769
202,155.27950310559007
205,57.142857142857146
206,10.0
212,55.55555555555556
214,53.09278350515464
215,87.71929824561404
216,52.21932114882507
217,11.11111111111111
219,62.5
228,25.0
229,29.891304347826086
232,31.914893617021278
233,51.282051282051285
235,153.84615384615384
236,285.7142857142857
242,54.54545454545455
245,6.578947368421052
246,81.3953488372093
248,47.61904761904762
251,10.974539069359087
252,56.49717514124294
253,33.333333333333336
255,70.96774193548387
256,23.91304347826087
259,6.410256410256411
260,59.523809523809526
263,21.764705882352942
265,42.05607476635514
268,53.84615384615385
273,6.654835847382431
274,37.18867924528302
276,116.47058823529412
277,14.705882352941176
279,98.03921568627452
280,34.31372549019608
285,145.34883720930233
288,14.705882352941176
289,47.05882352941177
293,300.0
294,78.125
298,103.44827586206897
304,13.32
305,78.125
308,50.72463768115942
310,25.0
311,75.18796992481202
317,33.81642512077295
319,0.3333333333333333
324,107.78443113772455
326,44.44444444444444
330,390.625
331,20.0
333,20.0
334,46.610169491525426
336,419.2307692307692
340,41.20879120879121
341,18.51851851851852
342,168.9189189189189
344,51.724137931034484
346,37.5
353,95.23809523809524
354,163.9344262295082
357,64.65517241379311
358,57.142857142857146
361,6.453926138400861
365,3.6912751677852347
369,47.41379310344828
371,41.35338345864662
373,370.3703703703704
375,81.9672131147541
379,52.63157894736842
383,93.75
385,65.21739130434783
389,92.5925925925926
390,0.13157894736842105
392,75.47169811320755
394,39.21568627450981
397,16.129032258064516
404,312.5
409,116.66666666666667
411,62.5
413,8.108108108108109
414,117.6470588235294
415,10.416666666666666
418,2.247191011235955
419,21.73913043478261
421,66.66666666666667
425,39.6551724137931
426,75.5813953488372
427,3214.285714285714
429,125.0
430,40.19292604501608
436,26.041666666666668
439,50.0
441,71.875
443,83.33333333333333
444,33.557046979865774
446,19.23076923076923
447,120.0
449,85.71428571428571
450,105.9322033898305
451,84.7457627118644
452,inf
454,51.79282868525896
458,21.176470588235293
459,inf
464,0.1111111111111111
465,17.699115044247787
467,112.5
469,11.363636363636363
470,58.445353594389246
471,82.13256484149856
474,27.442371020856204
475,53.03030303030303
477,7.092198581560283
479,54.054054054054056
480,95.54033970276008
483,76.92307692307692
484,58.68544600938967
486,59.880239520958085
490,62.96296296296296
491,18.495412844036696
493,70.95161290322581
494,0.625
499,27.77777777777778
500,71.42857142857143
501,34.09090909090909
503,36.231884057971016
504,14.577259475218659
510,53.191489361702125
513,40.0
514,72.07207207207207
515,28.91566265060241
520,28.40909090909091
522,58.47953216374269
523,225.73363431151242
525,50.0
527,142.85714285714286
528,37.5
532,83.33333333333333
537,7.936507936507937
540,inf
542,74.76635514018692
544,34.285714285714285
548,116.66666666666667
552,119.04761904761905
558,105.80952380952381
563,55.55555555555556
564,11.363636363636363
566,68.18181818181819
567,12.437810945273633
570,23.547880690737834
571,44.354838709677416
572,145.16129032258064
574,2.5
576,41.666666666666664
577,104.16666666666667
591,49.80769230769231
596,113.63636363636364
602,41.32231404958678
603,142.85714285714286
604,73.17073170731707
605,666.6666666666666
606,111.11111111111111
608,35.416666666666664
610,131.57894736842104
613,65.0
614,232.5581395348837
615,68.4931506849315
622,100.0
631,106.38297872340425
634,43.18936877076412
635,43.85964912280702
636,97.32360097323601
641,54.8780487804878
642,14.457831325301205
644,31.25
646,149.81273408239701
648,60.0
655,47.61904761904762
656,44.776119402985074
657,60.24096385542169
658,66.66666666666667
667,39.473684210526315
668,9.487666034155598
669,109.89010989010988
670,208.33333333333334
673,27.77777777777778
674,16.216216216216218
675,63.63636363636363
677,188.67924528301887
678,2.5
680,18.0
685,35.714285714285715
687,32.55813953488372
689,57.714285714285715
693,45.833333333333336
699,55.55555555555556
700,37.28813559322034
702,5.399568034557236
704,33.898305084745765
706,17.441860465116278
709,64.70588235294117
722,9.30232558139535
728,9.74025974025974
729,27.027027027027028
736,71.66666666666667
737,25.974025974025974
739,4.672897196261682
740,116.27906976744185
742,13.88888888888889
744,51.54639175257732
749,11.904761904761905
756,40.54054054054054
760,25.0
761,50.0
762,35.2112676056338
764,1.25
766,68.3371298405467
775,56.03448275862069
776,75.75757575757575
777,75.75757575757575
778,29.069767441860463
779,5.9523809523809526
785,19.607843137254903
786,325.0
787,18.817204301075268
789,47.24409448818898
792,35.714285714285715
794,94.33962264150944
795,4.252906152537568
797,55.55555555555556
799,13.20754716981132
800,134.48275862068965
802,44.326241134751776
803,34.523809523809526
805,49.382716049382715
806,256.4102564102564
808,29.41176470588235
811,43.85964912280702
815,81.9672131147541
818,53.57142857142857
819,46.51162790697674
820,50.0
824,23.80952380952381
826,35.67857142857143
827,624.3496357960457
828,190.47619047619048
832,128.2051282051282
834,194.1747572815534
841,11.363636363636363
845,178.57142857142858
846,67.56756756756756
849,25.806451612903224
851,253.16455696202533
853,11.627906976744185
854,0.07692307692307693
860,86.20689655172414
862,43.24324324324324
866,86.95652173913044
869,86.33093525179856
872,85.71428571428571
873,10.968921389396709
878,117.096018735363
880,53.63984674329502
882,60.0
884,246.91358024691357
886,22.917525773195877
887,373.3333333333333
889,26.5625
890,120.0
893,50.0
897,179.48717948717947
898,18.01801801801802
901,58.8235294117647
904,42.3728813559322
905,148.71794871794873
906,40.0
909,10.1010101010101
910,25.609756097560975
912,40.816326530612244
914,29.761904761904763
916,62.5
917,73.52941176470588
921,257.7319587628866
925,21.27659574468085
927,90.0
933,201.34228187919464
937,24027.666666666668
940,117.6470588235294
942,1428.5714285714287
945,58.8235294117647
946,37.03703703703704
953,5.183137525915687
954,14.814814814814815
956,42.857142857142854
964,45.45454545454545
967,39.682539682539684
968,200.0
969,54.54545454545455
970,5.0
974,119.04761904761905
978,151.5151515151515
980,68.62745098039215
984,142.85714285714286
994,62.97229219143577
995,57.47126436781609
